Diamond Bar,34.0286226,-117.8103366
Yorba Linda,33.890107,-117.8255938
Humboldt County,40.5997415,-123.8997733
Albany,37.88687,-122.2977474
El Monte,34.0751571,-118.0368489
Palm Desert,33.7288179,-116.382571
Gonzales,36.5066296,-121.4443805
Ontario,34.065846,-117.6484303
Manteca,37.7986184,-121.2117147
La Verne,34.1008426,-117.7678354
Lawndale,33.88711,-118.353148
Rocklin,38.7907339,-121.2357827
Westlake Village,34.1458389,-118.8056473
Mount Shasta,41.3098746,-122.3105665
Livermore,37.6820583,-121.768053
Kerman,36.7235543,-120.0599143
La Quinta,33.677474,-116.2958788
West Sacramento,38.5804609,-121.5302339
Santee,32.8383828,-116.9739166
Milpitas,37.4282724,-121.9066237
Yucca Valley,34.14154,-116.4136543094
Redondo Beach,33.8455911,-118.3886765
Healdsburg,38.6106812,-122.8701379
Fontana,34.0922335,-117.4350479
Calistoga,38.582615,-122.5833259486
Gardena,33.8883302,-118.3070891
Norwalk,33.9092802,-118.0849168
Loma Linda,34.075626,-117.25204765
Los Altos Hills,37.3796627,-122.1374636
Barstow,34.8957684,-117.0172076
Colfax,39.092034,-120.9405842581
Taft,35.1424671,-119.4565077
Pico Rivera,33.9830688,-118.0967349
Porterville,36.06523,-119.0167678
Sonoma County,38.5110803,-122.8473387
Bellflower,33.8825705,-118.1167678
South El Monte,34.0519548,-118.0467338
Fremont,37.5482697,-121.9885718
Fullerton,33.8708215,-117.9294164
Orland,39.7471106,-122.1911355
Temecula,33.4946353,-117.147366
Santa Fe Springs,33.9482434,-118.0676102
Pomona,34.0553813,-117.7517495
State of California,36.1299191,-120.2450810413
Corte Madera,37.9254806,-122.5274754
Indian Wells,33.7217965,-116.3383033
Lodi,38.0922395,-121.3898458337
Oakley,37.9974219,-121.7124535
Hillsborough,37.5741032,-122.3794162
Glendora,34.1361187,-117.8653389
Soledad,36.4269452,-121.3272146
Stanton,33.7943366,-117.995091155
Corcoran,36.0807795,-119.5782526915
Pacifica,37.6138253,-122.4869193
Gridley,39.3637773,-121.6935832
Newark,37.5296593,-122.0402398
Alhambra,34.0927361,-118.1268241
Pinole,38.0043667,-122.2988586
Dixon,38.4454641,-121.8232957
Fort Bragg,39.4447345,-123.8026991057
San Pablo,37.9621457,-122.3455262
South Lake Tahoe,38.929125,-119.9878463902
Belvedere,37.8727044,-122.464417
Tulare,36.2516475,-118.8525829
Woodlake,36.4135606,-119.0987175
Adelanto,34.5827699,-117.4092149
Anderson,40.448208,-122.2977814
Needles,34.8480597,-114.6141315
Riverside,33.9533546,-117.3961622
Shasta County,40.7965121,-121.9979193
